Story ID,Story / Epic,Story Description,Task ID,Task Description,Role,Planned Week,Priority,Deliverable / Evidence
S01,Project Initiation and Scope,"As a project team, we need to define JobTrack clearly so the team understands the problem, users, scope, and first-version value.",S01-T01,"Confirm final project topic, target users, problem statement, and value proposition.",Business Analyst,Week 3,High,Project brief / canvas content
S01,Project Initiation and Scope,"As a project team, we need to define JobTrack clearly so the team understands the problem, users, scope, and first-version value.",S01-T02,"Document MVP scope, out-of-scope items, assumptions, risks, and constraints for a 10-week student project.",Business Analyst,Week 3,High,Scope notes / risk list
S01,Project Initiation and Scope,"As a project team, we need to define JobTrack clearly so the team understands the problem, users, scope, and first-version value.",S01-T03,Create initial product brief and meeting evidence for project selection.,Report Analyst,Week 3,High,Project brief / meeting minutes
S01,Project Initiation and Scope,"As a project team, we need to define JobTrack clearly so the team understands the problem, users, scope, and first-version value.",S01-T04,Research similar job tracking workflows and identify useful feature ideas for Sprint 1.,Data Analyst,Week 3,Medium,Research notes
S02,Requirements and User Stories,"As a project team, we need clear requirements and user stories so development, testing, and documentation can follow the same agreed scope.",S02-T01,"Write functional requirements for application tracking, status updates, interview records, follow-ups, documents, and dashboard summaries.",Business Analyst,Week 4,High,BRD functional requirements
S02,Requirements and User Stories,"As a project team, we need clear requirements and user stories so development, testing, and documentation can follow the same agreed scope.",S02-T02,"Write non-functional requirements for usability, privacy, validation, local running, maintainability, and performance.",Business Analyst,Week 4,High,BRD non-functional requirements
S02,Requirements and User Stories,"As a project team, we need clear requirements and user stories so development, testing, and documentation can follow the same agreed scope.",S02-T03,Convert requirements into Jira stories and tasks with acceptance criteria.,Business Analyst,Week 4,High,Jira backlog screenshot / CSV
S02,Requirements and User Stories,"As a project team, we need clear requirements and user stories so development, testing, and documentation can follow the same agreed scope.",S02-T04,Review user stories and identify testable acceptance criteria for each major feature.,Tester,Week 4,High,Acceptance criteria review notes
S03,Project Setup and Architecture,"As a developer, I need a working local codebase so the team can build JobTrack from one repository using React, ASP.NET Core, and PostgreSQL.",S03-T01,"Create one shared repository structure for frontend, backend, database scripts, documentation, and test evidence.",Developer,Week 4,High,GitHub repository structure
S03,Project Setup and Architecture,"As a developer, I need a working local codebase so the team can build JobTrack from one repository using React, ASP.NET Core, and PostgreSQL.",S03-T02,Set up React frontend project and confirm it runs locally.,Developer,Week 4,High,Frontend running screenshot
